Date,Time,Duration in seconds,Sleep stage
2025.10.31 03:35:05,03:35:05,420,light
2025.10.31 03:42:05,03:42:05,360,rem
2025.10.31 03:48:05,03:48:05,1860,light
2025.10.31 04:19:05,04:19:05,300,rem
2025.10.31 04:24:05,04:24:05,540,light
2025.10.31 04:33:05,04:33:05,60,awake
2025.10.31 04:34:05,04:34:05,1440,light
2025.10.31 04:58:05,04:58:05,780,rem
2025.10.31 05:11:05,05:11:05,60,awake
2025.10.31 05:12:05,05:12:05,1200,light
2025.10.31 05:32:05,05:32:05,60,awake
2025.10.31 05:33:05,05:33:05,900,light
2025.10.31 05:48:05,05:48:05,420,deep
2025.10.31 05:55:05,05:55:05,2040,light
2025.10.31 06:29:05,06:29:05,960,rem
2025.10.31 21:51:50,21:51:50,600,light
2025.10.31 22:01:50,22:01:50,1680,deep
2025.10.31 22:29:50,22:29:50,3240,light
2025.10.31 23:23:50,23:23:50,60,awake
2025.10.31 23:24:50,23:24:50,60,light
2025.10.31 23:25:50,23:25:50,1020,rem
2025.10.31 23:42:50,23:42:50,60,awake
2025.10.31 23:43:50,23:43:50,1080,light
2025.11.01 00:01:50,00:01:50,480,awake
2025.11.01 00:09:50,00:09:50,1380,light
2025.11.01 00:32:50,00:32:50,960,awake
2025.11.01 00:48:50,00:48:50,840,light
2025.11.01 01:02:50,01:02:50,2580,awake
2025.11.01 01:45:50,01:45:50,960,light
2025.11.01 02:01:50,02:01:50,1860,deep
2025.11.01 02:32:50,02:32:50,780,light
2025.11.01 02:45:50,02:45:50,1680,rem
2025.10.31 21:51:50,21:51:50,600,light
2025.10.31 22:01:50,22:01:50,1680,deep
2025.10.31 22:29:50,22:29:50,3240,light
2025.10.31 23:23:50,23:23:50,60,awake
2025.10.31 23:24:50,23:24:50,60,light
2025.10.31 23:25:50,23:25:50,1020,rem
2025.10.31 23:42:50,23:42:50,60,awake
2025.10.31 23:43:50,23:43:50,1080,light
2025.11.01 00:01:50,00:01:50,480,awake
2025.11.01 00:09:50,00:09:50,1380,light
2025.11.01 00:32:50,00:32:50,960,awake
2025.11.01 00:48:50,00:48:50,840,light
2025.11.01 01:02:50,01:02:50,2580,awake
2025.11.01 01:45:50,01:45:50,960,light
2025.11.01 02:01:50,02:01:50,1860,deep
2025.11.01 02:32:50,02:32:50,780,light
2025.11.01 02:45:50,02:45:50,1680,rem
2025.11.01 07:50:25,07:50:25,1800,light
2025.11.02 01:10:29,01:10:29,600,light
2025.11.02 01:20:29,01:20:29,2340,deep
2025.11.02 01:59:29,01:59:29,360,light
2025.11.02 01:05:29,01:05:29,720,rem
2025.11.02 01:17:29,01:17:29,1260,light
2025.11.02 01:38:29,01:38:29,1920,awake
2025.11.02 02:10:29,02:10:29,1020,light
2025.11.02 02:27:29,02:27:29,1200,deep
2025.11.02 02:47:29,02:47:29,2100,light
2025.11.02 03:22:29,03:22:29,3120,awake
2025.11.02 04:14:29,04:14:29,960,light
2025.11.02 04:30:29,04:30:29,2520,awake
2025.11.02 05:12:29,05:12:29,1440,light
2025.11.02 05:36:29,05:36:29,1500,rem
2025.11.02 06:01:29,06:01:29,3120,awake
2025.11.02 06:53:29,06:53:29,3840,light
2025.11.02 07:57:29,07:57:29,60,awake
2025.11.02 07:58:29,07:58:29,1020,light
2025.11.02 08:15:29,08:15:29,1140,rem
2025.11.02 08:34:29,08:34:29,420,awake
2025.11.02 08:41:29,08:41:29,1020,light
2025.11.02 01:10:29,01:10:29,600,light
2025.11.02 01:20:29,01:20:29,2340,deep
2025.11.02 01:59:29,01:59:29,360,light
2025.11.02 01:05:29,01:05:29,720,rem
2025.11.02 01:17:29,01:17:29,1260,light
2025.11.02 01:38:29,01:38:29,1920,awake
2025.11.02 02:10:29,02:10:29,1020,light
2025.11.02 02:27:29,02:27:29,1200,deep
2025.11.02 02:47:29,02:47:29,2100,light
2025.11.02 03:22:29,03:22:29,3120,awake
2025.11.02 04:14:29,04:14:29,960,light
2025.11.02 04:30:29,04:30:29,2520,awake
2025.11.02 05:12:29,05:12:29,1440,light
2025.11.02 05:36:29,05:36:29,1500,rem
2025.11.02 06:01:29,06:01:29,3120,awake
2025.11.02 06:53:29,06:53:29,3840,light
2025.11.02 07:57:29,07:57:29,60,awake
2025.11.02 07:58:29,07:58:29,1020,light
2025.11.02 08:15:29,08:15:29,1140,rem
2025.11.02 08:34:29,08:34:29,420,awake
2025.11.02 08:41:29,08:41:29,1020,light
2025.11.02 17:11:03,17:11:03,3600,light
2025.11.03 00:34:48,00:34:48,120,light
2025.11.03 00:36:48,00:36:48,60,deep
2025.11.03 00:37:48,00:37:48,120,awake
2025.11.03 00:39:48,00:39:48,840,light
2025.11.03 00:53:48,00:53:48,1200,deep
2025.11.03 01:13:48,01:13:48,60,awake
2025.11.03 01:14:48,01:14:48,60,light
2025.11.03 01:15:48,01:15:48,1440,deep
2025.11.03 01:39:48,01:39:48,900,light
2025.11.03 01:54:48,01:54:48,1740,rem
2025.11.03 02:23:48,02:23:48,1500,awake
2025.11.03 02:48:48,02:48:48,1020,light
2025.11.03 03:05:48,03:05:48,480,deep
2025.11.03 03:13:48,03:13:48,1920,light
2025.11.03 03:45:48,03:45:48,720,rem
2025.11.03 03:57:48,03:57:48,1080,light
2025.11.03 04:15:48,04:15:48,1740,rem
2025.11.03 04:44:48,04:44:48,3540,light
2025.11.03 05:43:48,05:43:48,960,awake
2025.11.03 05:59:48,05:59:48,480,light
2025.11.03 06:07:48,06:07:48,2760,rem
2025.11.03 00:34:48,00:34:48,120,light
2025.11.03 00:36:48,00:36:48,60,deep
2025.11.03 00:37:48,00:37:48,120,awake
2025.11.03 00:39:48,00:39:48,840,light
2025.11.03 00:53:48,00:53:48,1200,deep
2025.11.03 01:13:48,01:13:48,60,awake
2025.11.03 01:14:48,01:14:48,60,light
2025.11.03 01:15:48,01:15:48,1440,deep
2025.11.03 01:39:48,01:39:48,900,light
2025.11.03 01:54:48,01:54:48,1740,rem
2025.11.03 02:23:48,02:23:48,1500,awake
2025.11.03 02:48:48,02:48:48,1020,light
2025.11.03 03:05:48,03:05:48,480,deep
2025.11.03 03:13:48,03:13:48,1920,light
2025.11.03 03:45:48,03:45:48,720,rem
2025.11.03 03:57:48,03:57:48,1080,light
2025.11.03 04:15:48,04:15:48,1740,rem
2025.11.03 04:44:48,04:44:48,3540,light
2025.11.03 05:43:48,05:43:48,960,awake
2025.11.03 05:59:48,05:59:48,480,light
2025.11.03 06:07:48,06:07:48,2760,rem
2025.11.03 22:06:45,22:06:45,480,light
2025.11.03 22:14:45,22:14:45,960,deep
2025.11.03 22:30:45,22:30:45,1080,light
2025.11.03 22:48:45,22:48:45,540,deep
2025.11.03 22:57:45,22:57:45,3600,light
2025.11.03 23:57:45,23:57:45,480,awake
2025.11.04 00:05:45,00:05:45,660,light
2025.11.04 00:16:45,00:16:45,60,awake
2025.11.04 00:17:45,00:17:45,360,light
